OrderID,OrderDate,Market,Country,ISO3,Segment,Category,SubCategory,Quantity,Discount,Sales,Profit
ORD-113201,2021-01-01,Europe,Spain,ESP,Corporate,Furniture,Furnishings,7,0.0,380.59,39.49
ORD-105481,2021-01-01,US,United States,USA,Corporate,Office Supplies,Binders,4,0.1,219.48,24.54
ORD-119054,2021-01-01,APAC,India,IND,Consumer,Technology,Phones,6,0.1,6665.76,128.47
ORD-118983,2021-01-01,Middle East,Saudi Arabia,SAU,Consumer,Office Supplies,Labels,1,0.0,22.91,4.26
ORD-106119,2021-01-01,Europe,Spain,ESP,Consumer,Technology,Copiers,4,0.0,4559.96,710.5
ORD-110217,2021-01-01,US,United States,USA,Corporate,Office Supplies,Storage,4,0.0,511.2,65.48
ORD-112490,2021-01-01,LATAM,Mexico,MEX,Corporate,Office Supplies,Binders,2,0.3,57.7,-1.93
ORD-116209,2021-01-01,LATAM,Brazil,BRA,Home Office,Office Supplies,Appliances,6,0.0,986.88,10.47
ORD-110194,2021-01-02,US,United States,USA,Corporate,Furniture,Tables,7,0.3,1704.85,-390.91
ORD-115218,2021-01-02,US,United States,USA,Consumer,Furniture,Bookcases,2,0.3,719.46,-63.47
ORD-119327,2021-01-02,APAC,India,IND,Consumer,Technology,Accessories,6,0.0,432.78,44.72
ORD-115905,2021-01-02,APAC,Japan,JPN,Corporate,Technology,Machines,1,0.3,1489.62,-214.43
ORD-103150,2021-01-02,US,Canada,CAN,Consumer,Technology,Accessories,7,0.3,445.55,-30.51
ORD-101836,2021-01-02,APAC,Australia,AUS,Consumer,Office Supplies,Binders,6,0.2,98.34,2.81
ORD-113991,2021-01-02,Europe,Germany,DEU,Corporate,Office Supplies,Art,2,0.0,90.64,12.37
ORD-103502,2021-01-02,US,United States,USA,Home Office,Office Supplies,Appliances,3,0.2,1296.33,-98.56
ORD-101157,2021-01-02,Africa,Nigeria,NGA,Consumer,Furniture,Chairs,7,0.2,2241.54,-208.88
ORD-118035,2021-01-02,APAC,India,IND,Corporate,Furniture,Bookcases,1,0.4,345.58,-47.9
ORD-109866,2021-01-02,Europe,France,FRA,Corporate,Office Supplies,Storage,5,0.1,260.3,17.83
ORD-117344,2021-01-03,Europe,Germany,DEU,Consumer,Technology,Machines,6,0.1,9915.06,33.56
ORD-103452,2021-01-03,US,United States,USA,Consumer,Office Supplies,Paper,1,0.1,13.41,2.81
ORD-107030,2021-01-03,APAC,China,CHN,Consumer,Furniture,Tables,6,0.2,5070.36,-1268.95
ORD-105539,2021-01-03,LATAM,Mexico,MEX,Corporate,Furniture,Bookcases,5,0.3,1609.75,-266.9
ORD-100743,2021-01-03,US,United States,USA,Consumer,Furniture,Furnishings,3,0.1,75.39,11.44
ORD-115709,2021-01-03,Europe,Germany,DEU,Consumer,Furniture,Tables,7,0.4,4559.59,-1381.53
ORD-108034,2021-01-03,US,United States,USA,Corporate,Furniture,Tables,2,0.0,1698.36,-97.19
ORD-102879,2021-01-03,Europe,France,FRA,Corporate,Office Supplies,Binders,7,0.3,515.06,29.7
ORD-110919,2021-01-03,Africa,Nigeria,NGA,Consumer,Furniture,Chairs,5,0.2,2890.65,-115.83
ORD-104641,2021-01-03,LATAM,Argentina,ARG,Consumer,Office Supplies,Paper,2,0.2,68.46,-0.64
ORD-110050,2021-01-03,APAC,Australia,AUS,Home Office,Office Supplies,Binders,5,0.2,345.1,8.7
ORD-101220,2021-01-03,US,United States,USA,Consumer,Office Supplies,Art,4,0.2,196.64,3.69
ORD-107008,2021-01-04,APAC,India,IND,Consumer,Office Supplies,Appliances,4,0.2,1555.64,-148.28
ORD-100740,2021-01-04,Europe,Spain,ESP,Consumer,Furniture,Bookcases,6,0.4,2424.06,-483.18
ORD-111776,2021-01-04,US,Canada,CAN,Consumer,Office Supplies,Paper,5,0.0,216.25,51.65
ORD-116918,2021-01-04,APAC,India,IND,Home Office,Furniture,Bookcases,3,0.0,1135.5,46.57
ORD-116213,2021-01-04,Europe,Italy,ITA,Corporate,Office Supplies,Labels,3,0.1,53.52,7.2
ORD-117349,2021-01-04,US,Canada,CAN,Corporate,Technology,Machines,1,0.0,2155.05,-39.45
ORD-104552,2021-01-04,Africa,Nigeria,NGA,Consumer,Technology,Accessories,8,0.0,1066.96,133.36
ORD-114411,2021-01-04,APAC,Australia,AUS,Home Office,Furniture,Chairs,1,0.2,475.81,-24.0
ORD-108583,2021-01-05,Europe,France,FRA,Consumer,Office Supplies,Art,5,0.0,182.05,26.48
ORD-119624,2021-01-05,LATAM,Argentina,ARG,Consumer,Office Supplies,Binders,6,0.2,211.38,4.31
ORD-109714,2021-01-05,APAC,Japan,JPN,Home Office,Technology,Phones,6,0.0,6791.34,1407.85
ORD-103876,2021-01-05,LATAM,Brazil,BRA,Corporate,Technology,Accessories,1,0.2,109.8,4.65
ORD-115920,2021-01-05,LATAM,Mexico,MEX,Corporate,Technology,Copiers,5,0.4,8987.8,-702.53
ORD-106402,2021-01-06,APAC,Japan,JPN,Corporate,Technology,Machines,3,0.2,6905.97,218.35
ORD-108958,2021-01-06,US,United States,USA,Corporate,Furniture,Tables,6,0.0,6732.18,2.64
ORD-108298,2021-01-06,Africa,Nigeria,NGA,Home Office,Furniture,Furnishings,7,0.0,564.83,36.67
ORD-108014,2021-01-06,Africa,Nigeria,NGA,Consumer,Technology,Accessories,3,0.1,468.48,31.72
ORD-113065,2021-01-06,US,United States,USA,Consumer,Office Supplies,Storage,2,0.2,594.1,-14.73
ORD-114256,2021-01-06,US,United States,USA,Consumer,Office Supplies,Paper,1,0.1,15.98,2.31
ORD-117990,2021-01-06,Africa,South Africa,ZAF,Consumer,Technology,Copiers,1,0.4,437.5,-33.63
ORD-104418,2021-01-06,APAC,Australia,AUS,Consumer,Furniture,Tables,1,0.2,472.15,-75.92
ORD-100997,2021-01-06,APAC,China,CHN,Corporate,Furniture,Tables,1,0.1,328.56,-64.81
ORD-103491,2021-01-06,Europe,United Kingdom,GBR,Corporate,Furniture,Furnishings,3,0.0,470.52,50.89
ORD-115935,2021-01-06,APAC,China,CHN,Corporate,Office Supplies,Paper,2,0.0,60.1,10.69
ORD-112417,2021-01-07,APAC,China,CHN,Corporate,Technology,Accessories,7,0.0,159.32,20.7
ORD-117883,2021-01-07,US,United States,USA,Consumer,Office Supplies,Art,2,0.0,118.92,12.04
ORD-110212,2021-01-07,APAC,Japan,JPN,Consumer,Furniture,Furnishings,7,0.1,1218.7,117.95
ORD-117558,2021-01-07,US,Canada,CAN,Consumer,Furniture,Tables,7,0.3,4725.35,-1210.65
ORD-102730,2021-01-07,US,United States,USA,Corporate,Technology,Accessories,8,0.0,1261.36,293.31
ORD-112793,2021-01-07,Europe,Germany,DEU,Consumer,Furniture,Chairs,8,0.1,1505.36,70.27
ORD-116782,2021-01-07,US,United States,USA,Consumer,Office Supplies,Appliances,2,0.0,706.54,33.55
ORD-107635,2021-01-07,Africa,Egypt,EGY,Consumer,Furniture,Bookcases,5,0.0,3590.0,152.34
ORD-106622,2021-01-07,LATAM,Mexico,MEX,Home Office,Office Supplies,Binders,4,0.4,303.64,-39.39
ORD-115569,2021-01-07,LATAM,Argentina,ARG,Consumer,Technology,Machines,2,0.3,884.28,-197.92
ORD-115591,2021-01-07,Europe,United Kingdom,GBR,Corporate,Office Supplies,Art,3,0.0,44.28,7.02
ORD-115771,2021-01-07,APAC,Australia,AUS,Corporate,Technology,Machines,1,0.0,633.57,35.74
ORD-104314,2021-01-08,APAC,Japan,JPN,Corporate,Technology,Copiers,8,0.0,8270.64,1567.6
ORD-114867,2021-01-08,LATAM,Brazil,BRA,Consumer,Furniture,Chairs,7,0.2,2981.02,-287.42
ORD-110241,2021-01-08,US,United States,USA,Corporate,Technology,Phones,2,0.0,2364.62,335.01
ORD-119206,2021-01-08,US,Canada,CAN,Corporate,Furniture,Furnishings,8,0.1,284.88,21.05
ORD-105182,2021-01-08,US,United States,USA,Home Office,Furniture,Chairs,3,0.1,1175.04,67.74
ORD-110325,2021-01-08,Europe,United Kingdom,GBR,Corporate,Office Supplies,Paper,2,0.2,40.16,3.47
ORD-117107,2021-01-08,Europe,United Kingdom,GBR,Consumer,Furniture,Bookcases,6,0.3,2817.72,-115.64
ORD-111873,2021-01-08,US,United States,USA,Consumer,Technology,Machines,4,0.0,7327.68,597.57
ORD-116016,2021-01-08,US,United States,USA,Consumer,Office Supplies,Appliances,5,0.0,1494.05,126.09
ORD-117266,2021-01-09,US,United States,USA,Consumer,Office Supplies,Storage,6,0.3,1138.98,-50.07
ORD-119075,2021-01-09,Europe,Germany,DEU,Consumer,Technology,Phones,1,0.0,432.01,80.22
ORD-113281,2021-01-09,Europe,Germany,DEU,Consumer,Furniture,Chairs,7,0.1,1694.42,93.85
ORD-105155,2021-01-09,US,United States,USA,Home Office,Technology,Copiers,6,0.2,8767.02,468.17
ORD-111609,2021-01-09,Europe,France,FRA,Consumer,Office Supplies,Art,2,0.0,46.9,3.17
ORD-111507,2021-01-09,APAC,Australia,AUS,Corporate,Furniture,Furnishings,3,0.0,375.03,55.5
ORD-107465,2021-01-09,Europe,Italy,ITA,Corporate,Technology,Accessories,8,0.1,827.52,61.51
ORD-103206,2021-01-09,Europe,Spain,ESP,Consumer,Office Supplies,Paper,5,0.3,220.15,-7.57
ORD-119649,2021-01-09,Middle East,United Arab Emirates,ARE,Consumer,Technology,Machines,2,0.0,4395.82,242.77
ORD-106586,2021-01-09,APAC,Australia,AUS,Consumer,Furniture,Chairs,1,0.2,356.18,-8.83
ORD-112257,2021-01-10,APAC,Australia,AUS,Consumer,Technology,Machines,5,0.1,6104.9,289.33
ORD-110430,2021-01-10,APAC,Australia,AUS,Consumer,Office Supplies,Storage,1,0.4,31.92,-4.51
ORD-106158,2021-01-10,US,United States,USA,Consumer,Furniture,Tables,7,0.1,2477.58,-357.34
ORD-108714,2021-01-10,APAC,China,CHN,Consumer,Office Supplies,Paper,3,0.1,35.76,4.93
ORD-115332,2021-01-10,US,United States,USA,Corporate,Furniture,Chairs,2,0.0,1150.02,202.58
ORD-107765,2021-01-10,APAC,Australia,AUS,Consumer,Office Supplies,Labels,1,0.3,6.79,0.15
ORD-118355,2021-01-10,APAC,India,IND,Corporate,Furniture,Tables,3,0.0,1416.75,-174.22
ORD-103605,2021-01-10,US,United States,USA,Consumer,Furniture,Bookcases,7,0.0,6120.03,369.14
ORD-113690,2021-01-10,Europe,Spain,ESP,Consumer,Office Supplies,Binders,6,0.0,92.7,10.71
ORD-102584,2021-01-10,US,United States,USA,Consumer,Office Supplies,Art,4,0.0,38.72,4.26
ORD-115643,2021-01-10,Europe,United Kingdom,GBR,Home Office,Furniture,Furnishings,8,0.2,1260.24,-16.83
ORD-100810,2021-01-10,APAC,India,IND,Consumer,Furniture,Bookcases,4,0.1,3221.32,-14.89
ORD-119967,2021-01-10,US,United States,USA,Home Office,Furniture,Chairs,4,0.4,1945.64,-150.32
ORD-109341,2021-01-10,LATAM,Argentina,ARG,Corporate,Furniture,Chairs,7,0.0,3195.08,76.84
ORD-105177,2021-01-11,US,United States,USA,Corporate,Technology,Machines,1,0.4,2151.91,-451.38
ORD-112510,2021-01-11,APAC,Singapore,SGP,Consumer,Office Supplies,Binders,1,0.4,17.62,-1.54
